Hartford Area Career & Technology Center (White River Junction, VT)
Hartford Elem School (Hartford, IL)
Hartford High (Hartford, WI)
Hartford High School (Hartford, MI)
Hartford High School (White River Junction, VT)
Hartford Jr./Sr. High School (Hartford, KS)
Hartford Magnet Trinity College Academy (Hartford, CT)
Hartford Middle School (Hartford, MI)
Hartford Middle/High School (Hartford, NY)
Hartford Prekindergarten Magnet School (Hartford, CT)
Hartford Public High School (Hartford, CT)
Hartington Newcastle High School (Hartington, NE)
Hartington-Newcastle Elem At Hartington (Hartington, NE)
Hartington-Newcastle Elem At Newcastle (Newcastle, NE)
Hartland Christian School (Hartland, ME)
Hartland Day Academy (Rapidan, VA)
Hartland Elementary School (Havre, MT)
Hartland High School (Hartland, MI)
Hartland School Of Community Learning (Hartland, WI)
Hartley School (Hartley, TX)
Hartley-Melvin-Sanborn High School (Hartley, IA)
Hartly Elementary School (Hartly, DE)
Hartman Middle (Houston, TX)
Harts Hill Baptist Academy (Whitesboro, NY)
Harts Pk-8 (Harts, WV)
Hartsburg-Emden Jr-Sr High School (Hartsburg, IL)
Hartselle High School (Hartselle, AL)
Hartshorn School (Short Hills, NJ)
Hartshorne HS (Hartshorne, OK)
Hartsville High (Hartsville, SC)
Hartvigsen School (Taylorsville, UT)
Hartville High (Hartville, MO)
Hartwell Elementary School (Hartwell, GA)
Harvard Avenue Performance Academy (Cleveland, OH)
Harvard El (Houston, TX)
Harvard Elementary School (Harvard, NE)
Harvard Elementary School (Toledo, OH)
Harvard High School (Harvard, IL)
Harvard High School (Harvard, NE)
Harvard International Academy (Hollywood, FL)
Harvard Middle School (Harvard, NE)
