7933 Main St. (Kansas City, MO)
Marco Island Charter Middle (Marco Island, FL)
Marconi Learning Academy (Sacramento, CA)
Marcos De Niza High School (Tempe, AZ)
Marcum-Illinois Union Elementary (East Nicolaus, CA)
Marcus H S (Flower Mound, TX)
Marcus Whitman High School (Rushville, NY)
Marcus Whitman Middle School (Port Orchard, WA)
Marcus Whitman-Cowiche Elementary (Cowiche, WA)
Marcy El (Big Spring, TX)
Mardan School (Irvine, CA)
Mardela Middle & High (Mardela Springs, MD)
Marengo High School (Dixons Mills, AL)
Marengo High School (Marengo, IL)
Maret School (Washington, DC)
Marfa Schools (Marfa, TX)
Margaret B Henderson El (Dallas, TX)
Margaret Fischer Davis El (Texarkana, TX)
Margaret Harris Comprehensive School (Atlanta, GA)
Margaret J. Kemp (San Mateo, CA)
Margaret K. Lewis In Millville (Panama City, FL)
Margaret Keating Elementary (Klamath, CA)
Margaret L Donovan (Randolph, MA)
Margaret L Vetter (Eatontown, NJ)
Margaret Landell Elementary (Cypress, CA)
Margaret Mace Elementary School (North Wildwood, NJ)
Margaret Newton Elementary (Tiptonville, TN)
Margaret Sheehy Elementary (Merced, CA)
Margaret Yarbrough Elementary School (Auburn, AL)
Margaretta High School (Castalia, OH)
Margaretville Central School (Margaretville, NY)
Margarita Janer Palacios (Guaynabo, PR)
Margarita Muniz Academy (Boston, MA)
Margarita Rivera De Janer (Gurabo, PR)
Margate Middle School (Margate, FL)
Margil Academy (San Antonio, TX)
Margolin Hebrew Academy (Memphis, TN)
Marguerite E Small Elementary (West Yarmouth, MA)
Marguerite Poindexter Lamotte Elementary (Los Angeles, CA)
Mari-Linn Elementary School (Lyons, OR)
Maria Carrillo High (Santa Rosa, CA)
Maria Hastings (Lexington, MA)
Maria Libertad Gomez (Utuado, PR)
Maria Luisa Arcelay (Mayaguez, PR)
Maria Regina High School (Hartsdale, NY)
Maria Teresa Pineiro (Toa Baja, PR)
Marian Catholic High School (Chicago Heights, IL)
Marian Catholic High School (Tamaqua, PA)
Marian Central Catholic High School (Woodstock, IL)
Marian High School (Bloomfield Hills, MI)
Marian High School (Mishawaka, IN)
Marian High School (Nti Career Institute) (Houston, TX)
Mariana Bracetti Academy Cs (Philadelphia, PA)
Marianapolis Prep School (Thompson, CT)
Marianas High School (Saipan, MP)
Marianna High School (Marianna, FL)
Mariano Lake Community School (Crownpoint, NM)
Mariano Riera Palmer (Mayaguez, PR)
Maricopa Elementary (Maricopa, CA)
Maricopa High (Maricopa, CA)
Maricopa High School (Maricopa, AZ)
Maricopa Institute Of Technology (Phoenix, AZ)
Maricopa Wells Middle School (Maricopa, AZ)
Marie B. Riviere Elementary School (Metairie, LA)
