C A Farley (Hudson, MA)
Campbell County Comprehensive High School (Jacksboro, TN)
Campbell County High School (Alexandria, KY)
Campbell County High School (Gillette, WY)
Campbell El (Campbell, TX)
Campbell El (Katy, TX)
Campbell Elementary School (Lincoln, NE)
Campbell Elementary School (Muskegon, MI)
Campbell H S (Campbell, TX)
Campbell High (Campbell, MO)
Campbell High Community Day (Oakhurst, CA)
Campbell High School (Litchfield, NH)
Campbell High School (Smyrna, GA)
Campbell-Savona Junior/Senior High School (Campbell, NY)
Campbell-Tintah Secondary (Campbell, MN)
Campbellsburg Elementary School (Campbellsburg, KY)
Campbellsport High (Campbellsport, WI)
Campbellsport Middle (Campbellsport, WI)
Campbellsville Eagle Academy (Campbellsville, KY)
Campbellsville High School (Campbellsville, KY)
Campbellton Elem. (New Haven, MO)
Campion Academy (Loveland, CO)
Campo High (Continuation) (Pine Valley, CA)
Campo Undivided High School (Campo, CO)
Campo Verde High School (Gilbert, AZ)
Campolindo High (Moraga, CA)
Campton Elementary School (Campton, KY)
Campus Community School (Dover, DE)
Campus High Haysville (Wichita, KS)
Campus International High School (Cleveland, OH)
Campus International School (Cleveland, OH)
Canaan Christian Academy (Lake Ariel, PA)
Canaan Elementary School (Patchogue, NY)
Canaan Middle School (Plain, OH)
Canaan Schools (Canaan, VT)
Canadian H S (Canadian, TX)
Canadian HS (Canadian, OK)
Canajoharie Senior High School (Canajoharie, NY)
Canal Winchester High School (Canal Winchester, OH)
Canandaigua Academy (Canandaigua, NY)
Canaseraga School (Canaseraga, NY)
Canastota High School (Canastota, NY)
Canby High School (Canby, OR)
Canby Lane Elementary School (Decatur, GA)
Canby Secondary (Canby, MN)
Candlelight Christian Academy (Lake Wales, FL)
Candlewood Elementary (Rockville, MD)
Candor Junior-Senior High School (Candor, NY)
Cane Bay High (Summerville, SC)
Cane Bay Middle (Summerville, SC)
Cane Ridge High School (Antioch, TN)
Caney Creek H S (Conroe, TX)
Caney HS (Caney, OK)
Caney Valley Charter Academy (Caney, KS)
Caney Valley Es (Ochelata, OK)
Caney Valley High (Caney, KS)
Caney Valley HS (Ramona, OK)
Canfield High School (Canfield, OH)
Canisteo-Greenwood High School (Canisteo, NY)
Canistota High School - 01 (Canistota, SD)
Cannaday El (Mesquite, TX)
Cannelton Elementary & High School (Cannelton, IN)
Cannon County High School (Woodbury, TN)
Cannon Falls HS Credit Recovery (Cannon Falls, MN)
Cannon Falls Secondary (Cannon Falls, MN)
Cannon Helen C Jhs (Las Vegas, NV)
Cannon Road Elementary (Silver Spring, MD)
Cannon School (Concord, NC)
Cannonsburg Elementary School (Rockford, MI)
Cano-Gonzalez El (Edinburg, TX)
Canoga Park Elementary (Canoga Park, CA)
Canoga Park Senior High (Canoga Park, CA)
Canon Christian Academy (Belen, NM)
Canon Christian Academy (Canon City, CO)
Canon City High School (Canon City, CO)
Canon Exploratory School (Canon City, CO)
Canon-Mcmillan Shs (Canonsburg, PA)
Canterbury Classical School (Asheville, NC)
Canterbury Elementary (Greendale, WI)
Canterbury School (Fort Wayne, IN)
Cantiague Elementary School (Jericho, NY)
Canton Academy (Canton, MS)
Canton Area El Sch (Canton, PA)
Canton Career Center (Canton, MS)
Canton City Digital Academy (Canton, OH)
Canton Educational Services Center (Canton, MS)
Canton Elementary School (Canton, MS)
Canton H S (Canton, TX)
Canton Harbor High School (Canton, OH)
Canton High (Canton, MA)
Canton High (Canton, MO)
Canton High School - 01 (Canton, SD)
Canton High School (Canton, CT)
Canton High School (Canton, IL)
Canton High School (Canton, MI)
Canton Homeschool Resources And The Haven Academy (Canton, GA)
Canton HS (Canton, OK)
Canton Jshs (Canton, PA)
Canton Middle School - 04 (Canton, SD)
Canton Middle School (Canton, CT)
Canton Middle School (Streamwood, IL)
Canton Preparatory High School (Canton, MI)
Canton Public 9th Grade School (Canton, MS)
Canton Public High School (Canton, MS)
Canton South High School (Canton, OH)
Canton-Galva Elementary (Galva, KS)
Canton-Galva Jr./Sr. High (Canton, KS)
Cantu El (Alton, TX)
Cantwell Sacred Heart Of Mary (Montebello, CA)
Cantwell School (Cantwell, AK)
Canute HS (Canute, OK)
Canutillo H S (El Paso, TX)
Canyon Creek Elementary (Bothell, WA)
Canyon Crest Academy (San Diego, CA)
Canyon Del Oro High School (Oro Valley, AZ)
Canyon Elementary School (Cataldo, ID)
Canyon Grove Academy (Pleasant Grove, UT)
Canyon H S (Canyon, TX)
Canyon H S (New Braunfels, TX)
Canyon High (Anaheim, CA)
Canyon High (Canyon Country, CA)
Canyon Hills (Anaheim, CA)
Canyon Hills Junior High (Chino Hills, CA)
Canyon Lake H S (Fischer, TX)
Canyon Oaks High (Monrovia, CA)
Canyon Oaks Youth Center (Redwood City, CA)
Canyon Park Middle School (Bothell, WA)
Canyon Pointe Academy (Glendale, AZ)
Canyon Ridge High (Hesperia, CA)
Canyon Ridge High School (Twin Falls, ID)
Canyon Ridge Ies (Oklahoma City, OK)
Canyon Ridge Middle (Austin, TX)
Canyon Rim Elementary (Anaheim, CA)
Canyon Rose Academy (Tucson, AZ)
Canyon Rose Academy-East (Tucson, AZ)
Canyon Springs High (Moreno Valley, CA)
