Ferndale High School (Ferndale, WA)
Ferndale Parent Partnership (Ferndale, WA)
Ferndale Re-Engagement (Ferndale, WA)
Ferndale Special Services (Ferndale, WA)
Ferndale Upper Elementary Campus (Oak Park, MI)
Ferndell Henry Center For Learning (Rosharon, TX)
Fernley Elementary School (Fernley, NV)
Fernley High School (Fernley, NV)
Fernley Intermediate School (Fernley, NV)
Fernwood Academy (Layton, UT)
Fernwood Avenue Middle School (Egg Harbor Township, NJ)
Fernwood Elementary (Bothell, WA)
Ferriday High School (Ferriday, LA)
Ferris H S (Ferris, TX)
Ferris High School (Spokane, WA)
Ferrisburgh Central School (Ferrisburgh, VT)
Ferrucci Jr High (Puyallup, WA)
Ferry County Open Doors - Youth Reengagement (Curlew, WA)
Ferry Farm Elem (Fredericksburg, VA)
Fertile-Beltrami Secondary (Fertile, MN)
Fertitta Victoria Ms (Las Vegas, NV)
Fessenden Elementary School (Ocala, FL)
Fessenden-Bowdon Elementary School (Fessenden, ND)
Fessenden-Bowdon High School (Fessenden, ND)
Festus Middle (Festus, MO)
Festus Sr. High (Festus, MO)
Fiddyment Farm (Roseville, CA)
Fideles Christian School (Cumming, GA)
Field Elem. (Chillicothe, MO)
Field Elem. (Springfield, MO)
Field Elementary School (Canton, MI)
Field High School (Mogadore, OH)
Field Kindley High (Coffeyville, KS)
Field Street School (Carneys Point, NJ)
Fieldcrest High School (Minonk, IL)
Fieldcrest Primary School (Minonk, IL)
Fields El (Mcallen, TX)
Fields Of Art Christian Academy (Jacksonville, FL)
Fieldston Preparatory School (Titusville, FL)
Fieldstone Academy (Richfield, UT)
Fiest El (Houston, TX)
Fife High School (Tacoma, WA)
Fife Open Doors (Tacoma, WA)
Fifteenth Street Elementary (San Pedro, CA)
Fifty-Fourth Street Elementary (Los Angeles, CA)
Fifty-Second Street Elementary (Los Angeles, CA)
Figarden Elementary (Fresno, CA)
Figueroa Street Elementary (Los Angeles, CA)
Fike High (Wilson, NC)
Filer High School (Filer, ID)
Filer Middle School (Filer, ID)
Fillmore Central Alp (Harmony, MN)
Fillmore Central High School (Geneva, NE)
Fillmore Central Middle School (Fairmont, NE)
Fillmore Central School (Fillmore, NY)
Fillmore Central Senior High (Harmony, MN)
Fillmore Es (Oklahoma City, OK)
Fillmore Middle (Fillmore, CA)
Fillmore Senior High (Fillmore, CA)
Finch Elementary (Atlanta, GA)
Findlay Digital Academy (Findlay, OH)
Findlay High School (Findlay, OH)
Findlay Learning Center (Findlay, OH)
Fine Arts Academy (Atascadero, CA)
Finger Lakes Christian School (Seneca Falls, NY)
Finger Lakes Residential Center (Lansing, NY)
Finland Middle School (Columbus, OH)
Finlayson Elementary (Finlayson, MN)
Finley El (Laredo, TX)
Finley Elementary (Finley, TN)
Finley Elementary (Kennewick, WA)
Finley Elementary (Westminster, CA)
Finley-Sharon High School (Finley, ND)
Finn Academy: An Elmira Charter School (Elmira, NY)
Finneytown Secondary Campus (Cincinnati, OH)
