Iona Preparatory School (New Rochelle, NY)
Ione Community Charter School (Ione, OR)
Ione Junior High (Jackson, CA)
Ionia High School (Ionia, MI)
Ionia Maximum Correctional Facility (Ionia, MI)
Iosco Resa Special Education (Tawas City, MI)
Iota High School (Iota, LA)
Iotla Valley Elementary (Franklin, NC)
Iowa City High School (Iowa City, IA)
Iowa Connections Academy High School (Anita, IA)
Iowa Elementary School (Aurora, CO)
Iowa Falls - Alden High School (Iowa Falls, IA)
Iowa High School (Iowa, LA)
Iowa Park H S (Iowa Park, TX)
Iowa Park Jjaep (Wichita Falls, TX)
Iowa Valley Jr-Sr High School (Marengo, IA)
Iowa-Grant High (Livingston, WI)
Iowa-Maple Elementary School (Cleveland, OH)
Ipakanni Early College Charter (Oroville, CA)
Iprep Academy North (Miami, FL)
Ipswich High (Ipswich, MA)
Ipswich High School - 01 (Ipswich, SD)
Iq Academy California-Los Angeles (Simi Valley, CA)
Iq Academy Minnesota (Fergus Falls, MN)
Iqra Math And Science Academy (Anniston, AL)
Ira School (Ira, TX)
Iraan H S (Iraan, TX)
Iredell School (Iredell, TX)
Ireland El (Odessa, TX)
Ireland Elementary School (Ireland, IN)
Irene - Wakonda High School - 01 (Irene, SD)
Irene B. West Elementary (Elk Grove, CA)
Irene Clinkscale El (Burleson, TX)
Ireton Elementary School (Ireton, IA)
Irine M Hunt School Of Marin (San Anselmo, CA)
Irion H S (Mertzon, TX)
Iris Becker Elementary School (Dearborn, MI)
Irl - Westmoreland Academy (South Pasadena, CA)
Irma Deliz De Munoz (Isabela, PR)
Irma Rangel Young Women'S Leadership School (Dallas, TX)
Irmo High (Columbia, SC)
Irmo Middle (Columbia, SC)
Iron Academy (Raleigh, NC)
Iron Mountain High School (Iron Mountain, MI)
Iron River Elementary (Iron River, WI)
Irondale Community School (Irondale, AL)
Irondale Senior High (New Brighton, MN)
Irondequoit High School (Rochester, NY)
Ironia School (Randolph, NJ)
Ironton High School (Ironton, OH)
Ironton-La Valle Elementary (La Valle, WI)
Ironwood Christian Academy (Newberry Springs, CA)
Ironwood Christian Academy (South Bend, IN)
Ironwood High School (Glendale, AZ)
Ironwood Ridge High School (Oro Valley, AZ)
Iroquois El Sch (Erie, PA)
Iroquois High (Louisville, KY)
Iroquois High School - 01 (Iroquois, SD)
Iroquois Intermediate School (Elma, NY)
Iroquois Jshs (Erie, PA)
Iroquois Senior High School (Elma, NY)
Iroquois West Elem Sch/Thawville (Thawville, IL)
Iroquois West High School (Gilman, IL)
Iroquois West Middle School (Onarga, IL)
Irrigon Elementary School (Irrigon, OR)
Irrigon Junior/Senior High School (Irrigon, OR)
Irvin H S (El Paso, TX)
Irvine High (Irvine, CA)
Irving El (Cleburne, TX)
Irving Elementary School (Waterloo, IA)
Irving H S (Irving, TX)
Irving Middle School (Maywood, IL)
Irving Middle School (Pocatello, ID)
Irvington Community School (Indianapolis, IN)
Irvington High (Fremont, CA)
Irvington High School (Irvington, NJ)
Irvington High School (Irvington, NY)
Irwin Academic Center (Charlotte, NC)
Irwin Academy Of Performing Arts (Victorville, CA)
Irwin County Elementary School (Ocilla, GA)
Irwin County High School (Ocilla, GA)
Irwin High (Continuation) (Hilmar, CA)
Irwin Preschool (Lakewood, CO)
Is 141 Steinway (The) (Long Island City, NY)
Is 145 Joseph Pulitzer (Jackson Heights, NY)
Is 192 Linden (The) (Saint Albans, NY)
Is 219 New Venture School (Bronx, NY)
Is 339 (Bronx, NY)
Is 364 Gateway (Brooklyn, NY)
Is 392 (Brooklyn, NY)
Is 51 Edwin Markham (Staten Island, NY)
Is 528 Bea Fuller Rodgers School (New York, NY)
Is 59 Springfield Gardens (Springfield Gardens, NY)
Is 61 William A Morris (Staten Island, NY)
Is 75 Frank D Paulo (Staten Island, NY)
Is 93 Ridgewood (Ridgewood, NY)
Is The Alternative Program (Tap) (Plymouth, MN)
Isaac M Bear Early College High School (Wilmington, NC)
Isaac Newton Christian Academy (Cedar Rapids, IA)
Isaacs Early Childhood School (Plano, TX)
Isabel Flores (Juncos, PR)
Isabella Bird Community School (Denver, CO)
Isabella High School (Maplesville, AL)
Isaiah Haines (Browns Mills, NJ)
Isanti Intermediate School (Isanti, MN)
Ischool (Carson City, NV)
Ischool High - Lewisville (Lewisville, TX)
Ischool High At The Woodlands (Conroe, TX)
Ischool High At University Park (Houston, TX)
Isd 181 Learning Center (Brainerd, MN)
Isd 281 Credit Recovery (Plymouth, MN)
Isd 728 Focus/Journey (Elk River, MN)
